,Model,cr,ce,cs,cg,rise_times,errors,energy
0,noesc01_rsgl,0.01,0.01,0.01,0.01,946.74,9.67607643684126,754.912353515625
1,noesc02_rsgl,0.1,0.01,0.01,0.01,582.64,2.81278448018635,1008.42150878906
2,noesc01_rse,1,0.01,0.01,0.01,128.9,1.02254077542281,5737.794921875
3,exp10,1,0.01,0.01,0.01,163.34,1.13477388775313,8745.6455078125
4,exp15,1,0.01,0.01,0.1,125.36,1.0679782753031,8017.19384765625
5,exp16,1,0.01,0.01,1,154.66,1.11669277275764,7947.67138671875
6,exp13,1,0.01,0.1,0.01,294.2,1.12600870596463,6671.8818359375
7,noesc01_ra,1,0.01,0.1,0.1,208.8,1.19367618432496,1567.87731933594
8,noesc01_rsg,1,0.01,0.1,1,137.88,0.965840662765253,3548.787109375
9,exp14,1,0.01,1,0.01,159.02,1.13049755019947,5733.31103515625
10,noesc02_r,1,0.01,1,0.1,143.96,0.970350451299561,2489.54223632813
11,exp3,1,0.01,1,1,412.6,1.18997200648637,1689.67846679688
12,exp11,1,0.1,0.01,0.01,126.96,1.03758096190483,6493.51806640625
13,exp19,1,0.1,0.01,0.1,526.94,1.30830861686418,1271.65014648438
14,exp21,1,0.1,0.01,1,331.64,1.12035030195716,1596.16186523438
15,exp4,1,0.1,0.1,0.01,443.06,1.35201031839604,1315.66735839844
16,noesc01_r,1,0.1,0.1,0.1,875.3,3.470142049069,740.929443359375
17,exp7,1,0.1,0.1,1,161.72,1.16525973120633,5643.96728515625
18,noesc02,1,0.1,1,0.01,131.82,1.01640894867095,4224.70458984375
19,noesc03,1,0.1,1,0.1,132.18,0.979967051671406,4846.48876953125
20,noesc03_r,1,0.1,1,1,132.24,0.980142063277815,5213.7626953125
21,exp12,1,1,0.01,0.01,478.6,1.40662353590328,1081.72985839844
22,noesc02_rs,1,1,0.01,0.1,143.9,0.941983801707047,3102.14379882812
23,exp20,1,1,0.01,1,278.24,1.06841398015093,1709.22326660156
24,noesc01,1,1,0.1,0.01,321.98,1.2066464181416,3554.52807617187
25,noesc04_r,1,1,0.1,0.1,146.28,0.964314035751226,3293.71118164062
26,exp22,1,1,0.1,1,510.68,1.28844356127501,1402.48046875
27,exp1,1,1,1,0.01,320.1,1.13538885183022,1543.84228515625
28,noesc02_rse,1,1,1,0.1,353.68,1.15476155744006,1311.38049316406
29,exp5,1,1,1,1,531.52,2.93998523093488,1792.6845703125
